term,source,notes
support,https://learn.microsoft.com/azure/active-directory/enterprise-users/users-restricted-azure-ad,"Microsoft reserviert den Namen für Support-Adressen zur Vermeidung von Verwechslungen."
info,https://learn.microsoft.com/azure/active-directory/enterprise-users/users-restricted-azure-ad,"Gehört zu den von Microsoft gesperrten Standardkonten."
helpdesk,https://help.salesforce.com/s/articleView?id=sf.admin_reserved_words_usernames.htm,"Salesforce weist den Begriff als reservierten Benutzername aus."
mail,https://developers.google.com/admin-sdk/directory/v1/guides/reserved-ids,"Google Workspace dokumentiert „mail“ als reserviertes Alias."
webmaster,https://learn.microsoft.com/azure/active-directory/enterprise-users/users-restricted-azure-ad,"In vielen Diensten als Systemkonto vorbehalten."
postmaster,https://www.rfc-editor.org/rfc/rfc2142,"RFC 2142 reserviert Standard-Mailboxen für Postmaster."
hostmaster,https://www.rfc-editor.org/rfc/rfc2142,"RFC 2142 definiert Hostmaster-Kontakte für Domainbetrieb."
abuse,https://www.rfc-editor.org/rfc/rfc2142,"RFC 2142 legt „abuse“ als Standardkontakt für Missbrauchsmeldungen fest."
mailer-daemon,https://www.rfc-editor.org/rfc/rfc2142,"RFC 2142 beschreibt Mailer-Daemon-Adressen für Zustellfehler."
noc,https://www.rfc-editor.org/rfc/rfc2142,"RFC 2142 empfiehlt „noc“ als Kontakt für Network Operations Center."
