term,source,notes
hakenkreuz,https://de.wikipedia.org/wiki/Hakenkreuz,"Symbol verboten nach §86a StGB in Deutschland."
ss-rune,https://de.wikipedia.org/wiki/Siegrune,"Doppelrune der Schutzstaffel; Verwendung in Deutschland strafbar."
reichskriegsflagge,https://de.wikipedia.org/wiki/Reichskriegsflagge,"Historische Flagge, die von rechtsextremen Gruppen genutzt wird."
88,https://www.adl.org/resources/hate-symbol/88,"Zahlencode steht für „Heil Hitler“ in rechtsextremer Szene."
14/88,https://www.adl.org/resources/hate-symbol/1488,"Kombination verbreiteter Neonazi-Zahlen-Codes."
"schwarze sonne",https://de.wikipedia.org/wiki/Schwarze_Sonne_(Symbol),"Esoterisches Symbol, das in rechtsextremen Kontexten verwendet wird."
wolfsangel,https://de.wikipedia.org/wiki/Wolfsangel,"Historisches Zeichen, das von rechtsextremen Gruppen genutzt wird."
odalsrune,https://de.wikipedia.org/wiki/Odalrune,"Rune, die von NS-Organisationen eingesetzt wurde."
totenkopf,https://de.wikipedia.org/wiki/Totenkopf,"Symbol der SS-Totenkopfverbände; rechtsextreme Nutzung dokumentiert."
siegrune,https://de.wikipedia.org/wiki/Siegrune,"Einzelne Siegrune als NS-Bezug; in Neonazi-Symbolik verbreitet."
